,Channel_Name,Language,Tags,Last Played Game,Game ID,ChannelID,Count
1630,scumtk,en,"['Comedy', 'Anime', 'ａｎｉｍｅ', 'justchatting', 'Black', 'sports', '18plus', 'English']",Just Chatting,509658,142907660,11870
1631,shubble,en,"['lgbtqia', 'english', 'English']",Town of Salem 2,1238739089,31063899,14264
1632,shurjoka,de,['Deutsch'],Just Chatting,509658,46544012,25515
1633,sick_cs,en,['English'],VALORANT,516575,77165632,95150
1634,slop3,sv,['Svenska'],Just Chatting,509658,7093315,7894
1635,scump,en,['English'],Call of Duty: Modern Warfare III,1337444628,13240194,95952
1636,sereda,en,"['dancing', 'English', 'pools', 'girl', 'Singing', 'music', 'MusicProduction', 'Cooking', 'dance']",Just Chatting,509658,265053976,5839
1637,sloot,en,"['English', 'Bald', 'Variety', 'Funny', 'Egg', 'Cozy', 'Romanian', 'Canadian']",Black Myth: Wukong,519291,29363507,9141
1638,skill4ltu,en,"['English', 'Lithuanian', 'drops', 'Drop', 'DropsActive', 'DropsEnabled']",World of Tanks,27546,110775952,24441
1639,smzinho,pt,['Português'],Dota 2,29595,37705807,48982
1640,ses836,ko,['한국어'],Just Chatting,509658,48731544,28224
1641,shlorox,de,['Deutsch'],World of Warcraft,18122,40784764,34633
1642,shuteye_orange,zh,['中文'],Black Myth: Wukong,519291,25202416,24549
1643,sidneyeweka,de,['Deutsch'],Just Chatting,509658,135177864,96510
1644,snoodyboo,es,['Español'],Teamfight Tactics,513143,135629563,13552
1645,sequisha,en,"['English', 'Solo', 'comedy', 'Hardcore', 'dungeon', 'Him']",Escape from Tarkov,491931,25458544,65302
1646,shackyhd,en,"['ADHD', 'Dyslexic', 'English']",Rust,263490,63033449,13662
1647,skyyart,fr,['Français'],League of Legends,21779,70298660,32306
1648,smoke,en,"['English', 'Immersion', 'SurvivaI', 'Adventure', 'Action', 'Shooter']",DayZ,65632,70880222,36840
1649,selis13,es,"['Español', 'Anime', 'JujutsuKaisen', 'Jujutsu']",VALORANT,516575,178763618,10515
1650,shiphtur,en,['English'],VALORANT,516575,26560695,41030
1651,silentsentry,en,"['DoesNOTbegforsubs', 'PC', 'VoiceActing', 'English', 'Comedy', 'FirstPlayrthrough']",Dead by Daylight,491487,56625428,7665
1652,smaczny,pl,"['Polski', 'Figma', 'vtube', 'pngtuber', 'czasamigramwgry', 'UIDesign']",Conqueror's Blade,498523,25452828,9272
1653,sintica,de,"['Music', 'House', 'DJ', 'Hardstyle', 'Deutsch', 'DJ', '808ontwitch', 'Techno']",DJs,1669431183,35884167,36516
1654,slysssa,en,"['Educational', 'Music', 'Fun', 'english', 'battlegrounds', 'English']",Hearthstone,138585,142199256,12953
1655,smokaloke,en,"['Mature', 'Adventure', 'English', 'Variety', 'Profanity', 'DrinkingandGaming', 'Indie']",Black Myth: Wukong,519291,51486023,8163
1656,seals311,pt,"['Futebol', 'Desporto', 'Português', 'Portugal', 'Tennis', 'NBA', 'Ciclismo']",seals311,seals311,117209801,10958
1657,shenpai,en,"['English', 'OhGodHelpMe', 'NoBackseating', 'NOTSponsored']",FINAL FANTASY XIV ONLINE,24241,25821344,16979
1658,shivfps,en,['English'],Apex Legends,511224,128149102,160102
1659,silithur,es,['Español'],Black Myth: Wukong,519291,31220977,131007
1660,silvervale,en,"['VTuber', 'Chill', 'Anime', 'Community', 'Relaxing', 'Positivity', 'English', 'Cozy', 'GoodVibes', 'English']",Just Chatting,509658,56938961,27348
1661,skyrroztv,fr,['Français'],Call of Duty: Warzone,512710,52349411,63599
1662,serpent,nl,"['Nederlands', 'serpentgameplay', 'rickbroers', 'ruziemaken']",I'm Only Sleeping,498592,49901658,9404
1663,shaunz,fr,['Français'],IRL,509672,43102846,25609
1664,shotz,en,"['English', 'Shooter', 'Boomer', 'shotz', 'Malding', 'Roleplay', 'STARFORGE']",Grand Theft Auto V,32982,112822444,44357
1665,shoxx__,de,"['Roleplay', 'GTA', 'GrandTheftAuto', 'HomeState', 'Deutsch', 'warzone']",Grand Theft Auto V,32982,103495737,6440
1666,sirhcez,en,"['chill', 'anime', 'top', 'AMA', 'singed', 'Filipino', 'nasus', 'Multiplayer', 'English']",League of Legends,21779,27934574,20726
1667,sleepy,en,"['e', 'catboy', 'English', 'DropsEnabled']",PAYDAY 3,2113043143,135052907,32221
1668,snaggymo,en,"['Kuwait', 'arab', 'qatar', 'English']",Just Chatting,509658,134965839,5492
1669,sekapoko,en,"['gacha', 'English']",Genshin Impact,513181,47485986,24689
1670,sgtgrafoyni,ru,"['Большой', 'Русский', 'Кот']",Just Chatting,509658,95932575,9154
1671,shroud,en,['English'],Black Myth: Wukong,519291,37402112,958140
1672,sick_nerd,en,"['English', 'RecedingHairline', 'NeanderthalAncestry', 'AskMeAnything']",Old School RuneScape,459931,49408183,13227
