Channel_Name,Language,Tags,Last Played Game,Game ID
simply,en,"['speedrun', 'worldrecordattempts', 'wr', 'worldrecord', 'doesanyonereadthese', 'mommy', 'daddy', 'English']",Super Mario 64,2692
singsing,en,"['NoBackseating', 'English']",Black Myth: Wukong,519291
sneakylol,en,['English'],Escape from Tarkov,491931
shadoune666,es,"['Minecraft', 'Hardcore', 'pvp', 'Shadoune', 'Imperio51', 'Español', 'discussion']",Minecraft,27471
shahzam,en,['English'],VALORANT,516575
shayvictorioo,pt,['Português'],Just Chatting,509658
silky,en,"['English', 'dailystreamer', '2021', 'CMB']",IRL,509672
so_urf,ko,['한국어'],Escape from Tarkov,491931
spygea,ja,['日本語'],Escape from Tarkov,491931
staryuuki,es,"['Yuuki', 'Staryuuki', 'IRL', 'Español', 'Charla', 'Podcast']",Just Chatting,509658
sunbaconrelaxer,en,['English'],Hearthstone,138585
syaruru3,ja,"['日本語', 'ガチャハラス禁止']",Escape from Tarkov,491931
sommerset,en,['English'],Fortnite,33214
soyfelipez360,es,['Español'],Teamfight Tactics,513143
stanz,en,"['Check', 'For', 'Primes', 'furry', 'onlyfans', 'English', 'BeanEater']",EA Sports College Football 25,232131679
staysafetv,en,"['English', 'based', 'basedandredpilled', 'BasedDepartment', 'BasedAF', 'basedandchadpilled', 'basedgamer', 'BASEDCONTENT']",Just Chatting,509658
steelohs,ko,steelohs,MapleStory Worlds,1804231074
stero2d,ko,"['스테', '한국어', '핵앤슬래시', 'ARPG', '스테TV', '스테로이드', 'POE', '디아블로']",Torchlight: Infinite,890558948
superevan,en,['English'],Call of Duty: Warzone,512710
sweetcampercs,zh,"['中文', '靈魂歌手', '帥臉', '最有禮貌', '勤奮主播', '一句不離三個國罵']",Path of Exile,29307
tanukininja,ja,"['日本語', 'アライグマ', '忍者', 'LoL', 'アナグマ', 'たぬき', 'ハクビシン']",Teamfight Tactics,513143
sodapoppin,en,"['Anime', 'Vtuber', 'Furry', 'English', 'ADHD', 'NoBackseating', 'Hardcore']",Warcraft III,12924
solaryfortnite,fr,['Français'],Fortnite,33214
spoonkid,en,['English'],Counter-Strike,32399
stevewillsendit,en,"['English', 'overwhatch2', 'Overawatch']",stevewillsendit,stevewillsendit
snow_hite,ko,"['설백이얌', '픽셀네트워크', '한국어']",snow_hite,snow_hite
snuffy,en,"['vtuber', 'cope', 'seethe', 'mald', 'English']",Just Chatting,509658
sofikimmy,es,"['Español', 'Chile']",League of Legends,21779
sola,de,"['Grandmaster', 'Deutsch', 'german', 'marksman']",League of Legends,21779
sologesang,de,"['Deutsch', 'English', 'FUTUREWORLDSWINNER', 'FUTUREDÖNERGIVEAWAYER']",Teamfight Tactics,513143
sonii,en,['English'],World of Warcraft,18122
steelmage,en,"['English', 'Australian']",Path of Exile,29307
strippin,en,"['English', 'Father', 'Daddy', 'Himbo', 'Wildman', 'Dadbod', 'MaleModel', 'Onlydads', 'Cringe', 'Fleshtuber']",The Isle,490948
stylishnoob4,ja,"['日本語', '感謝します']",Escape from Tarkov,491931
subroza,en,"['English', 'French', 'valorant', 'radiant', 'Subroza', 'pro', 'professional', 'Washed', 'DropsEnabled']",Spectre Divide,1451084268
sunbaking,ko,['한국어'],Just Chatting,509658
takeshi,pt,['Português'],League of Legends,21779
